party,afinn_sentiment,jockers_sentiment,nrc_sentiment,sentiword_sentiment,hu_sentiment,tot_speeches,tot_words,avg_speech_length
Alliance,0.1857109409479228,0.12446692031226396,0.1628118745896687,0.04552574309556372,0.05338823872521712,398,84227,211.62562814070353
Conservative,0.19818567748898244,0.14809194787048197,0.18870700082480202,0.03326809262840858,0.08225450599418038,1099591,184872287,168.1282285868109
Democratic Unionist,0.06720846686870637,0.06542234732046712,0.11325428686947502,0.01802167991437071,0.011809392671620188,2498,682705,273.3006405124099
Democratic Unionist Party,0.15767605417802694,0.10261253288280725,0.15285746146641757,0.024499634032334978,0.034971563662819415,9706,2018584,207.97280032969297
Green Party,0.11881546468432569,0.08981933767862298,0.1340692036426489,0.033471403551976316,0.013955361202162649,1290,256204,198.6077519379845
Independent,0.12983659068629808,0.10303153255021633,0.14815898526655036,0.028097211892676895,0.03469224285229409,11940,2096685,175.60175879396985
Independent 'One Nation Conservative',0.2186700717700582,0.16940255606044566,0.2297763362391929,0.051296796545423066,0.12242125055784729,316,102234,323.5253164556962
Independent Conservative,0.12410415989612648,0.1377487486249835,0.16544323870117394,0.02833249724535878,0.06723233485596307,9398,1392772,148.1987656948287
Independent Labour,0.042745059020936706,0.05858968244319624,0.08629037537044872,0.013289945022896132,0.007690618855182664,1163,260580,224.0584694754944
Independent SDP,0.08445429439005245,0.08107696485544301,0.13747945445657184,0.03677078197506177,-9.50413824859746e-4,135,61637,456.57037037037037
Independent Socialist,-0.021069695366561555,0.04253779161357168,0.08623154138168002,0.007188004239161989,-0.05207961564090651,386,129120,334.5077720207254
Independent Ulster Unionist,0.024861123928312127,0.06325427684121109,0.11578241514903069,0.012878641828124282,-0.022312801645690775,813,202397,248.95079950799507
Independent Unionist,0.07589629525644719,0.062002504106149964,0.1374672691816644,0.01415658296831109,-0.010464747470828819,188,34433,183.15425531914894
Labour,0.14178522174182037,0.11451959598030793,0.15913805885852514,0.028161818310603673,0.0481393469864277,850024,161378785,189.85203358963983
Labour (Co-op),0.15844182362028728,0.12786478274230237,0.17437958191201355,0.03250973041311454,0.05568206622523416,46067,8463450,183.72045064796927
Liberal,0.1137086893211004,0.09348466071774088,0.13366707516795406,0.028200600754871488,0.025595337614442642,4414,1043753,236.46420480289987
Liberal Democrat,0.1842118582513133,0.12010534679214631,0.16466158272585404,0.033393735515297104,0.057052698378402135,126775,27453313,216.5514730822323
Other,0.07500820068050978,0.06146483072114751,0.11613597918527045,0.011255148141808367,-0.01265903366492878,718,164711,229.4025069637883
Plaid Cymru,0.12583419760720177,0.09613208617270985,0.14158761161652417,0.028549985712003765,0.026640071059012883,10810,2273177,210.28464384828862
Referendum,0.14364516529406124,0.1559036970483418,0.21112919506078498,0.033379797487643255,0.09068448363939595,242,77142,318.7685950413223
Respect,-0.04869770546471351,0.012951583831303811,0.04517133359605288,0.0074335408608345145,-0.02208235545160679,167,67920,406.7065868263473
Scottish National Party,0.12448773222526717,0.09180819514916284,0.1318995338416967,0.027060577877401622,0.029514299342249434,28245,4831203,171.04630908125333
SNP,0.10572722803487067,0.07649811725931434,0.09147478488339557,0.022410517745017868,0.0354256537447027,331,50163,151.54984894259817
Social Democratic,0.1177151814791457,0.09468998945270317,0.14131765558004036,0.029088952230997167,0.029604358323117225,7865,1926802,244.984361093452
Social Democratic & Labour Party,0.11812357230123897,0.09393387331430623,0.14467855733568583,0.030051655292925875,0.02396832546798659,5019,1237140,246.49133293484758
Social Democratic Party,0.06054265201645682,0.08717705029057715,0.13521637949868465,0.025197888245067766,0.014971657891466131,1146,268240,234.06631762652705
UKIP,0.1726432478157773,0.13215687587646452,0.17196837809929622,0.036037790808867515,0.06274984654844419,2558,395659,154.67513682564504
Ulster Progressive Unionist Party,0.024695368229451575,0.06295650752145278,0.10818087831269506,0.011382283676401397,-0.009065484553916562,701,184906,263.77460770328105
Ulster Unionist Party,0.14299092701541946,0.09670479279047835,0.14126774542881929,0.02445024753205012,0.03196603182814487,10689,2496187,233.52858078398353
United Kingdom Unionist,0.11985827910799135,0.07898595910058552,0.14870798444153335,0.016335199922862722,-0.004313675632670968,396,70137,177.11363636363637
United Ulster Unionist Party,0.033378079403033806,0.08156573536010728,0.16098884289478552,0.009456172796672775,-0.03125172117213305,49,12610,257.3469387755102
