ministry,afinn_sentiment_avg,afinn_sd_avg,afinn_sentiment_wtd,afinn_sd_wtd,jockers_sentiment_avg,jockers_sd_avg,jockers_sentiment_wtd,jockers_sd_wtd,nrc_sentiment_avg,nrc_sd_avg,nrc_sentiment_wtd,nrc_sd_wtd,huliu_sentiment_avg,huliu_sd_avg,huliu_sentiment_wtd,huliu_sd_wtd,rheault_sentiment_avg,rheault_sd_avg,rheault_sentiment_wtd,rheault_sd_wtd,tot_speeches,tot_words,avg_speech_length
Blair1,0.16025597010812057,0.49305128932782144,0.2015353984999426,0.6352715132451741,0.12647202306224542,0.2439317740175824,0.12043379219822939,0.26654659354131005,0.16583172478341893,0.33636916616178236,0.1830983596560593,0.3794064762032169,0.05820928239340979,0.2985469798614969,0.0569659696308601,0.36316931813668246,0.21474973157015956,0.2315431115207312,0.22311608860335924,0.22311608860335924,229461,42071623,183.34977621469443
Blair2,0.17903666360033016,0.5738982444168313,0.22671734967663315,0.7870810431235852,0.13428629335760822,0.25428091096368377,0.1306105616936218,0.281803263155799,0.18454482363633112,0.3576392803825237,0.20310894162908608,0.4214780430074635,0.06368644186927608,0.33787142909770895,0.07344515566370043,0.45846691715829263,0.2336170168407069,0.24371953974521532,0.24834178136899066,0.24834178136899066,198034,36602320,184.8284637991456
Blair3,0.1945552095921035,0.6036912150334569,0.2567075807513,0.8207270796671687,0.13502895634427073,0.2566212702506126,0.1327355908567159,0.28306346664191456,0.1866433070201191,0.3638151102840618,0.20519817779966854,0.4210445653748698,0.06782514317540377,0.34479198261583793,0.07669539732434234,0.44155962730755943,0.2387048048201073,0.24756334466145619,0.2521600845873658,0.2521600845873658,128792,27007905,209.70172836822164
Brown,0.1959920541927647,0.612525457528255,0.24885369626463452,0.8383594933480717,0.13649209218890446,0.2574361302688005,0.13582630534822676,0.28555883185458164,0.18803471602258817,0.36471003784325345,0.2074339302041168,0.429990295642039,0.07230205239241631,0.35443028596003506,0.0749906659299509,0.46951244374211404,0.24348413451014939,0.25006232962887914,0.2596573175145126,0.2596573175145126,169498,35454330,209.17255660833757
Cameron1,0.2179472970067464,0.6051474276835933,0.271695526226455,0.8291780854546512,0.1440898360492613,0.2541426220490915,0.14236815226022054,0.28415501709476637,0.1945654706548314,0.36042264761604853,0.21273221559555533,0.42379068670790293,0.09094221671473487,0.3447339345559571,0.0993621737487209,0.4482531274816295,0.2559266721259455,0.24993003002667144,0.2710268365316008,0.2710268365316008,333134,50621287,151.95472992849724
Cameron2,0.2512359480275332,0.6443135418098863,0.4926111151842722,1.2848758412718775,0.14939318857570852,0.2566684088458066,0.152361779221036,0.29041319321507103,0.1999744666631435,0.3628228830907844,0.21868611276391622,0.4316474433621708,0.10133900329349403,0.34858569595624406,0.12002225955290725,0.4774311764597997,0.26464306592998216,0.2539742804360723,0.28513898188153525,0.28513898188153525,79966,12285821,153.63805867493684
Major1,0.13139257170259958,0.46141051747249073,0.15681984761654266,0.596413251908616,0.11823610676472081,0.23816889377628983,0.10597182702896153,0.25851269254251463,0.1631334989852182,0.3278241391871078,0.16724394952563193,0.36631580489122606,0.0457228988660263,0.2802922083989134,0.03587452140322234,0.34244526687465887,0.19482129873588672,0.21979005633725088,0.20058821289133166,0.20058821289133166,80719,13915408,172.39321597145653
Major2,0.14866959510849234,0.4750165124580917,0.18084486165866076,0.6282080042769315,0.12339428269370278,0.23845916085568256,0.1136984438919246,0.26235089719196,0.17056609482740304,0.3296783481627909,0.18092717536573544,0.3751160540022958,0.05355608203761559,0.28269600515430454,0.04753107686983172,0.3524490777889802,0.2039508901449489,0.22376485904323673,0.21116398106212836,0.21116398106212836,266324,49202697,184.74751430588307
May,0.2566505145495407,0.608981290950493,0.2969310639930043,0.8208064393484555,0.16417421672054122,0.25625754711576537,0.15817088726957612,0.28696895364447605,0.20691496620342983,0.3579060406068431,0.22533215444872945,0.42373073400671774,0.11417222396414278,0.3416213319666864,0.1258345566487697,0.44086189847583046,0.27644989104324647,0.2554591299152247,0.2852322120950433,0.2852322120950433,47503,7088537,149.2229332884239
Thatcher1,0.12486288899637406,0.43705527142954476,0.15377181716033037,0.5750810923530288,0.11644948939344439,0.23223627772550373,0.1036106614927535,0.25412214568709107,0.1594157963411878,0.31885839441416575,0.16836594738931288,0.3598967911275939,0.04679542175545156,0.2752513357273426,0.033673608326210476,0.337380885610773,0.18554004995151305,0.2108475448083785,0.1909000294693997,0.1909000294693997,232486,43108937,185.4259482291407
Thatcher2,0.12469023269422763,0.4465071966690818,0.15332157046706235,0.5834653497725676,0.11755007161586051,0.23412659003689731,0.10498272336040249,0.25523900977395125,0.16183761157404017,0.3230951255976871,0.17071587749839523,0.36406643510246217,0.043771546994073554,0.2753589745065695,0.03284617191500963,0.33812136516775915,0.18951549573365364,0.21438967329614098,0.19664485821878946,0.19664485821878946,245380,43450113,177.0727565408754
Thatcher3,0.13717242106191768,0.4512180202026841,0.16639022270977494,0.5891362787336482,0.11721474696120363,0.2345265174642589,0.10815026450758028,0.25610313635146015,0.16354906806394892,0.32348707998805476,0.1735027511831247,0.36529614687080186,0.04527523378389292,0.2727792401747541,0.03765149698427411,0.33868975641188886,0.19216321453535248,0.2179271007911427,0.2011097854417259,0.2011097854417259,219060,38006049,173.49606956998082
